City ID,City Name,Country Code,Latitude,Longitude,Temperature(°F),Humidity(%),Cloudiness(%),Wind Speed (mph)
4760232,Front Royal,US,38.92,-78.19,48.9,86,90,6.93
2962943,Limerick,IE,52.66,-8.63,42.8,81,75,13.87
2172880,Byron Bay,AU,-28.65,153.62,77.0,83,90,19.46
86049,Jalu,LY,29.03,21.55,61.2,72,68,2.48
3354247,Ondangwa,NA,-17.91,15.98,67.5,84,92,7.96
1623197,Tual,ID,-5.67,132.75,85.18,97,56,13.44
2126199,Cherskiy,RU,68.75,161.3,-6.98,61,48,6.62
3985710,Cabo San Lucas,MX,22.89,-109.91,69.3,100,44,3.94
6138501,Saint-Augustin,CA,45.63,-73.98,22.42,57,90,4.7
1651531,Ambon,ID,-3.7,128.18,75.2,94,40,9.17
3893656,Copiapo,CL,-27.37,-70.33,75.2,53,0,10.29
6071421,Meadow Lake,CA,54.13,-108.44,17.6,67,75,12.75
1519928,Qostanay,KZ,53.17,63.58,1.4,91,0,6.71
1255619,Srivardhan,IN,18.03,73.02,68.35,93,12,2.59
3652567,San Cristobal,EC,-1.02,-79.44,64.3,100,88,2.93
324496,Aksaray,TR,38.37,34.03,46.4,70,40,5.82
107304,Buraydah,SA,26.33,43.97,71.6,35,0,6.93
3996234,Lazaro Cardenas,MX,28.39,-105.62,69.8,14,75,13.87
6160806,Sylvan Lake,CA,52.31,-114.09,17.6,78,75,8.05
1244926,Hambantota,LK,6.12,81.12,77.71,100,24,13.56
1242110,Kalmunai,LK,7.42,81.82,74.56,100,88,3.94
3374120,Vila do Maio,CV,15.13,-23.22,69.8,64,75,16.11
2629833,Husavik,IS,66.04,-17.34,30.2,74,20,20.8
3404558,Cabedelo,BR,-6.97,-34.84,84.2,70,75,10.29
1047660,Cuamba,MZ,-14.8,36.54,71.55,84,64,2.15
2121385,Severo-Kurilsk,RU,50.68,156.12,19.62,100,8,19.26
3115824,Muros,ES,42.77,-9.06,44.6,65,0,8.05
1278149,Aurangabad,IN,19.87,75.33,63.76,57,8,4.05
1626542,Sorong,ID,-0.86,131.25,82.03,100,0,4.83
484670,Taman,RU,45.22,36.72,33.8,100,80,17.9
3148138,Larkollen,NO,59.33,10.67,21.27,92,36,3.36
